Edad,Genero,Comunidad_Autonoma,Situacion_Laboral,Historial_Familiar,Estres_Diario,Horas_Sueno,Actividad_Fisica,Apoyo_Social,Consumo_Redes,RISK_LEVEL
77,Femenino,Cataluña,Empleado,Sí,10,7.4,Baja,7,4.9,Alto
33,Femenino,Comunidad Valenciana,Desempleado,Sí,3,7.4,Alta,3,2.2,Medio
32,Masculino,Galicia,Empleado,No,3,6.7,Baja,1,1.9,Medio
79,Masculino,Cataluña,Desempleado,Sí,1,5.5,Alta,8,4.5,Bajo
79,Femenino,Cantabria,Empleado,Sí,7,5.7,Alta,3,0.5,Alto
64,Femenino,Castilla y León,Jubilado,No,8,7.9,Media,8,3.5,Medio
79,Masculino,Comunidad Valenciana,Empleado,No,2,7.0,Baja,7,8.9,Medio
68,Femenino,Cataluña,Empleado,No,4,6.8,Alta,2,1.3,Bajo
61,Masculino,Andalucía,Desempleado,No,10,6.5,Media,1,3.1,Alto
72,Femenino,Cataluña,Empleado,Sí,7,6.6,Media,7,0.5,Medio
69,Masculino,Canarias,Empleado,No,8,8.3,Baja,1,3.5,Alto
74,Masculino,Cataluña,Desempleado,No,1,6.6,Baja,6,7.9,Medio
20,Masculino,Comunidad Valenciana,Desempleado,No,4,5.4,Baja,10,4.9,Medio
54,Femenino,Castilla y León,Estudiante,No,6,7.9,Media,10,2.8,Bajo
68,Femenino,Andalucía,Empleado,No,3,6.8,Media,8,8.4,Medio
24,Masculino,País Vasco,Desempleado,No,5,7.0,Baja,7,0.5,Bajo
38,Femenino,Andalucía,Empleado,No,10,8.9,Media,4,4.9,Alto
26,Masculino,Cantabria,Desempleado,Sí,9,7.0,Baja,1,4.1,Alto
56,Femenino,Comunidad Valenciana,Desempleado,Sí,3,7.3,Media,1,3.5,Medio
35,Masculino,Andalucía,Empleado,Sí,5,5.6,Alta,4,5.6,Medio
21,Masculino,Madrid,Empleado,Sí,8,6.7,Baja,5,1.6,Alto
42,Femenino,Madrid,Empleado,No,6,7.7,Baja,7,4.6,Medio
77,Otro,Canarias,Empleado,Sí,4,5.1,Baja,4,4.4,Medio
31,Femenino,Castilla y León,Empleado,No,8,7.2,Media,10,2.3,Medio
67,Femenino,Galicia,Empleado,Sí,3,7.1,Media,1,7.9,Alto
75,Femenino,Andalucía,Desempleado,Sí,3,7.0,Alta,10,3.6,Bajo
26,Masculino,Andalucía,Empleado,No,4,8.2,Baja,7,3.7,Bajo
43,Otro,Andalucía,Jubilado,Sí,9,7.4,Alta,2,1.9,Alto
70,Femenino,Comunidad Valenciana,Empleado,No,5,8.8,Baja,2,3.7,Medio
19,Femenino,Baleares,Estudiante,No,8,5.8,Media,8,8.7,Alto
37,Femenino,Madrid,Desempleado,Sí,6,7.2,Baja,10,3.5,Medio
45,Femenino,Andalucía,Empleado,Sí,3,7.1,Alta,10,5.0,Bajo
64,Femenino,Comunidad Valenciana,Empleado,No,8,5.7,Media,10,5.9,Medio
77,Masculino,Murcia,Desempleado,Sí,9,8.1,Media,5,3.6,Alto
24,Femenino,Castilla y León,Empleado,Sí,8,9.8,Alta,10,3.2,Bajo
61,Masculino,Baleares,Jubilado,Sí,4,7.0,Baja,2,4.9,Alto
78,Femenino,Cataluña,Empleado,Sí,6,7.6,Baja,5,3.5,Alto
25,Femenino,Cataluña,Jubilado,No,1,7.1,Alta,8,3.3,Bajo
64,Masculino,Baleares,Empleado,No,4,6.1,Baja,6,5.9,Bajo
52,Femenino,País Vasco,Estudiante,No,8,4.8,Baja,3,3.9,Alto
31,Femenino,Cataluña,Desempleado,Sí,1,6.2,Media,8,6.4,Medio
34,Femenino,Castilla y León,Estudiante,Sí,3,5.3,Media,9,3.8,Bajo
53,Femenino,Murcia,Empleado,No,1,9.0,Baja,5,1.4,Bajo
67,Masculino,Galicia,Desempleado,No,9,6.9,Baja,2,0.5,Alto
57,Femenino,País Vasco,Empleado,No,2,6.6,Baja,2,0.5,Bajo
21,Femenino,Madrid,Estudiante,No,9,8.1,Media,7,0.7,Medio
19,Masculino,Comunidad Valenciana,Empleado,No,4,5.7,Alta,1,4.5,Medio
79,Femenino,Comunidad Valenciana,Jubilado,No,2,6.1,Alta,10,2.1,Bajo
23,Masculino,Aragón,Empleado,Sí,4,7.1,Media,2,0.5,Medio
71,Masculino,Murcia,Estudiante,No,10,8.2,Baja,10,3.7,Medio
59,Femenino,Murcia,Jubilado,No,6,7.6,Alta,4,1.8,Bajo
21,Femenino,Andalucía,Estudiante,Sí,7,7.3,Media,1,4.9,Alto
71,Masculino,Castilla y León,Empleado,Sí,3,7.1,Baja,4,4.9,Medio
46,Femenino,Canarias,Empleado,No,3,7.5,Alta,10,5.1,Bajo
80,Masculino,País Vasco,Jubilado,No,10,7.2,Media,5,0.5,Alto
35,Masculino,Canarias,Empleado,No,8,5.8,Media,9,4.1,Medio
43,Masculino,Aragón,Empleado,Sí,5,7.1,Media,1,3.8,Alto
61,Masculino,Madrid,Desempleado,Sí,4,5.7,Baja,5,1.6,Medio
51,Masculino,Comunidad Valenciana,Estudiante,No,7,7.1,Baja,2,0.5,Alto
27,Femenino,Andalucía,Empleado,Sí,7,6.4,Media,9,3.8,Medio
79,Femenino,Madrid,Desempleado,No,9,10.0,Baja,6,6.1,Alto
53,Masculino,Galicia,Estudiante,Sí,9,7.0,Media,2,0.5,Alto
31,Femenino,Canarias,Empleado,No,5,5.3,Media,3,2.3,Medio
48,Femenino,Cataluña,Jubilado,No,8,6.8,Media,8,4.3,Medio
65,Masculino,Andalucía,Empleado,No,10,7.6,Media,1,6.2,Alto
32,Femenino,País Vasco,Empleado,No,1,9.0,Media,3,3.4,Bajo
25,Otro,Andalucía,Empleado,No,9,6.3,Alta,10,7.9,Medio
31,Masculino,Andalucía,Empleado,No,8,5.1,Media,1,0.5,Alto
40,Masculino,Andalucía,Jubilado,Sí,6,8.0,Baja,8,0.5,Medio
77,Femenino,Andalucía,Empleado,No,3,5.3,Baja,1,6.0,Alto
74,Femenino,Cataluña,Empleado,Sí,3,6.5,Baja,5,0.5,Medio
79,Masculino,Madrid,Empleado,No,8,6.7,Baja,4,4.9,Alto
57,Femenino,Madrid,Desempleado,No,5,6.9,Baja,7,3.4,Medio
38,Femenino,Baleares,Desempleado,Sí,10,7.8,Baja,5,2.2,Alto
33,Femenino,Comunidad Valenciana,Empleado,No,7,6.2,Media,8,3.1,Medio
62,Femenino,Castilla y León,Empleado,Sí,5,6.7,Alta,1,1.4,Medio
35,Femenino,Andalucía,Jubilado,Sí,8,7.0,Baja,5,3.4,Alto
64,Masculino,Cataluña,Empleado,No,10,7.2,Media,4,4.0,Alto
70,Masculino,Castilla y León,Empleado,No,10,7.1,Media,3,3.2,Alto
41,Femenino,Andalucía,Empleado,No,4,7.5,Baja,5,2.8,Bajo
43,Femenino,Comunidad Valenciana,Estudiante,Sí,2,8.0,Alta,10,4.5,Bajo
42,Masculino,Galicia,Empleado,Sí,3,7.5,Media,3,7.3,Medio
77,Femenino,Galicia,Empleado,Sí,8,7.5,Baja,8,3.5,Alto
77,Femenino,Andalucía,Empleado,Sí,7,5.1,Media,3,5.6,Alto
77,Masculino,Cataluña,Jubilado,No,2,7.1,Baja,1,2.1,Medio
62,Femenino,Galicia,Empleado,No,6,7.6,Media,9,1.3,Bajo
58,Femenino,Andalucía,Estudiante,No,9,7.9,Baja,9,4.9,Medio
46,Femenino,País Vasco,Empleado,No,4,6.2,Alta,6,3.5,Bajo
32,Femenino,Castilla y León,Empleado,Sí,9,6.2,Media,10,6.3,Medio
62,Masculino,La Rioja,Estudiante,No,2,6.3,Media,1,6.7,Medio
18,Femenino,Cataluña,Empleado,Sí,2,7.6,Baja,8,5.7,Bajo
42,Masculino,Murcia,Jubilado,Sí,9,8.2,Media,2,5.6,Alto
24,Masculino,Comunidad Valenciana,Jubilado,No,7,6.5,Media,9,0.5,Bajo
26,Femenino,Madrid,Jubilado,Sí,7,8.1,Media,8,4.9,Medio
41,Masculino,Andalucía,Empleado,Sí,1,7.1,Media,3,5.7,Medio
18,Masculino,Castilla y León,Estudiante,No,6,6.9,Media,5,1.5,Bajo
61,Femenino,Cataluña,Empleado,No,7,6.7,Alta,9,4.0,Bajo
25,Masculino,Madrid,Jubilado,No,6,7.9,Media,1,1.9,Medio
41,Masculino,Andalucía,Desempleado,Sí,6,7.4,Alta,9,6.1,Medio
80,Femenino,Murcia,Estudiante,Sí,2,9.7,Alta,4,2.1,Bajo
28,Femenino,Canarias,Empleado,No,6,6.0,Media,4,2.4,Medio
68,Masculino,Castilla y León,Empleado,Sí,4,7.6,Baja,4,3.1,Medio
34,Femenino,Cataluña,Empleado,No,9,6.4,Media,10,8.5,Alto
25,Femenino,Andalucía,Estudiante,Sí,1,6.0,Alta,9,6.0,Bajo
52,Femenino,Galicia,Empleado,No,8,7.0,Baja,6,7.2,Alto
52,Femenino,Comunidad Valenciana,Empleado,Sí,5,7.2,Media,8,0.5,Bajo
50,Otro,Andalucía,Estudiante,No,1,10.0,Alta,4,1.5,Bajo
76,Femenino,País Vasco,Desempleado,No,4,6.8,Baja,3,6.7,Alto
22,Femenino,La Rioja,Empleado,No,1,5.6,Media,1,0.5,Bajo
59,Femenino,Castilla y León,Desempleado,Sí,6,7.3,Baja,10,2.7,Medio
56,Masculino,Castilla y León,Empleado,No,2,4.5,Baja,7,8.1,Bajo
75,Masculino,Navarra,Empleado,No,5,6.9,Media,4,2.1,Medio
58,Femenino,Cataluña,Empleado,No,7,7.0,Baja,8,0.5,Medio
45,Femenino,Comunidad Valenciana,Empleado,No,2,8.0,Baja,3,4.1,Bajo
24,Femenino,Cantabria,Empleado,Sí,6,8.2,Alta,1,0.5,Medio
26,Masculino,Andalucía,Estudiante,Sí,6,6.4,Baja,5,6.5,Alto
25,Femenino,Castilla y León,Empleado,No,5,6.8,Alta,2,2.2,Medio
29,Masculino,Comunidad Valenciana,Empleado,Sí,5,6.1,Alta,3,1.8,Medio
51,Masculino,Comunidad Valenciana,Jubilado,No,3,5.6,Baja,6,4.1,Medio
50,Femenino,País Vasco,Empleado,No,10,7.4,Baja,3,3.2,Alto
65,Femenino,Asturias,Empleado,No,10,5.5,Media,3,4.5,Alto
72,Femenino,Canarias,Estudiante,No,2,6.5,Media,6,5.0,Bajo
40,Femenino,Andalucía,Jubilado,No,7,5.8,Baja,5,3.6,Alto
79,Masculino,Aragón,Estudiante,Sí,1,7.7,Media,10,1.7,Bajo
41,Femenino,Cataluña,Estudiante,Sí,6,9.2,Baja,9,5.5,Medio
54,Masculino,Madrid,Estudiante,No,6,5.4,Alta,1,2.6,Medio
52,Femenino,Madrid,Empleado,Sí,3,4.8,Baja,3,2.3,Medio
61,Femenino,Comunidad Valenciana,Estudiante,Sí,2,6.9,Baja,3,4.3,Medio
57,Femenino,Madrid,Empleado,No,2,7.0,Baja,6,0.5,Bajo
39,Femenino,Asturias,Jubilado,No,9,7.3,Alta,8,4.8,Medio
44,Femenino,Castilla y León,Empleado,No,5,6.5,Media,3,4.4,Medio
52,Femenino,Galicia,Desempleado,Sí,7,6.8,Alta,3,6.2,Alto
18,Masculino,Andalucía,Empleado,Sí,5,7.4,Baja,6,3.0,Medio
52,Masculino,Extremadura,Estudiante,Sí,7,8.2,Baja,8,6.6,Alto
54,Masculino,Extremadura,Empleado,No,4,4.7,Baja,6,5.1,Medio
64,Masculino,Canarias,Jubilado,No,8,6.6,Media,10,3.9,Bajo
31,Femenino,Andalucía,Estudiante,No,10,7.3,Media,3,7.6,Alto
20,Femenino,Andalucía,Empleado,No,10,5.9,Media,4,4.2,Alto
18,Masculino,Cataluña,Estudiante,No,7,9.1,Baja,1,3.0,Alto
22,Masculino,Andalucía,Estudiante,No,10,6.2,Alta,8,4.2,Medio
43,Masculino,Madrid,Desempleado,Sí,5,7.0,Baja,4,2.9,Alto
72,Femenino,Asturias,Empleado,No,6,7.7,Alta,6,4.7,Medio
80,Femenino,Madrid,Empleado,No,5,6.3,Baja,3,6.6,Alto
31,Masculino,Andalucía,Empleado,No,7,4.8,Media,6,4.0,Medio
56,Femenino,Cataluña,Empleado,No,2,6.5,Baja,9,4.2,Bajo
44,Femenino,Andalucía,Jubilado,No,5,8.2,Media,9,5.6,Bajo
26,Masculino,Andalucía,Empleado,No,10,6.6,Media,10,6.4,Medio
32,Femenino,Cataluña,Estudiante,No,3,6.0,Media,3,3.1,Medio
32,Femenino,Cataluña,Empleado,No,9,8.1,Media,3,4.3,Alto
43,Masculino,Canarias,Empleado,Sí,6,6.6,Media,4,5.6,Alto
59,Masculino,Cantabria,Estudiante,Sí,10,6.4,Media,7,4.7,Alto
77,Masculino,Madrid,Jubilado,No,3,7.2,Alta,3,0.5,Bajo
30,Masculino,Madrid,Empleado,No,7,7.9,Baja,10,6.0,Bajo
68,Femenino,Aragón,Empleado,Sí,4,9.9,Media,8,5.0,Bajo
80,Femenino,Cataluña,Empleado,No,3,8.0,Media,8,5.2,Bajo
49,Masculino,Andalucía,Empleado,Sí,8,8.4,Baja,6,1.6,Alto
56,Masculino,Aragón,Empleado,Sí,4,6.4,Media,4,4.3,Medio
66,Masculino,Andalucía,Empleado,No,1,5.8,Baja,5,5.7,Bajo
69,Masculino,Galicia,Empleado,Sí,6,7.1,Baja,2,2.2,Alto
78,Femenino,Comunidad Valenciana,Estudiante,Sí,10,7.1,Baja,6,2.8,Alto
49,Masculino,Madrid,Empleado,Sí,1,5.7,Baja,3,5.7,Medio
21,Masculino,Cataluña,Empleado,No,5,6.8,Media,6,2.7,Bajo
47,Masculino,Canarias,Empleado,No,7,7.5,Media,5,3.6,Medio
54,Femenino,Andalucía,Estudiante,No,6,7.4,Alta,2,1.9,Medio
40,Masculino,Cataluña,Jubilado,No,2,7.6,Media,5,7.6,Bajo
56,Femenino,Castilla y León,Empleado,Sí,4,7.3,Baja,5,5.0,Medio
62,Masculino,Comunidad Valenciana,Estudiante,No,2,6.4,Alta,9,3.5,Bajo
32,Femenino,Andalucía,Empleado,Sí,1,6.4,Alta,8,3.1,Bajo
60,Femenino,Baleares,Empleado,No,3,5.6,Media,7,1.5,Bajo
46,Masculino,Madrid,Empleado,No,3,9.1,Media,3,3.8,Bajo
53,Masculino,Murcia,Empleado,No,7,7.0,Alta,10,5.3,Bajo
30,Femenino,Canarias,Estudiante,Sí,1,6.7,Media,4,2.4,Bajo
49,Femenino,Galicia,Jubilado,No,9,5.9,Alta,6,4.2,Alto
24,Masculino,Comunidad Valenciana,Empleado,Sí,6,10.0,Baja,3,3.3,Alto
76,Femenino,Cantabria,Desempleado,Sí,4,5.7,Baja,9,6.8,Medio
68,Femenino,Andalucía,Desempleado,No,3,6.5,Media,8,2.7,Bajo
39,Femenino,Castilla y León,Empleado,Sí,3,7.5,Media,6,5.6,Medio
45,Masculino,Cataluña,Empleado,No,2,7.7,Alta,4,6.8,Bajo
19,Femenino,Cataluña,Empleado,Sí,2,8.1,Alta,7,3.2,Bajo
59,Masculino,Cataluña,Empleado,Sí,10,9.2,Baja,3,2.8,Alto
62,Femenino,Navarra,Empleado,No,5,7.6,Baja,10,5.8,Medio
79,Masculino,Cantabria,Empleado,No,9,5.7,Alta,8,0.5,Medio
74,Masculino,Cataluña,Empleado,No,2,6.7,Media,1,4.9,Bajo
70,Masculino,Andalucía,Estudiante,No,2,7.4,Baja,3,0.8,Bajo
23,Femenino,Castilla y León,Desempleado,No,6,9.5,Media,5,6.4,Medio
45,Masculino,Madrid,Jubilado,Sí,10,5.3,Media,5,3.5,Alto
45,Masculino,Andalucía,Empleado,No,2,8.4,Media,10,3.8,Bajo
61,Masculino,País Vasco,Estudiante,No,4,7.2,Media,2,2.6,Medio
61,Femenino,Comunidad Valenciana,Jubilado,No,6,8.0,Baja,10,0.8,Bajo
37,Otro,La Rioja,Desempleado,No,5,6.9,Alta,8,6.5,Medio
47,Masculino,Cataluña,Empleado,No,1,6.0,Media,5,3.7,Bajo
79,Femenino,Madrid,Estudiante,No,6,7.9,Media,7,10.4,Medio
28,Femenino,Comunidad Valenciana,Empleado,No,1,7.8,Baja,7,2.4,Bajo
75,Femenino,Canarias,Empleado,Sí,3,8.2,Media,5,2.7,Bajo
72,Masculino,Comunidad Valenciana,Empleado,Sí,10,7.0,Baja,8,2.2,Alto
45,Masculino,Galicia,Desempleado,No,5,6.3,Baja,9,3.6,Medio
42,Masculino,Cataluña,Empleado,Sí,10,5.1,Media,4,7.2,Alto
56,Masculino,Aragón,Jubilado,No,5,8.0,Baja,4,6.0,Medio
79,Masculino,Madrid,Desempleado,No,10,7.5,Media,8,1.0,Medio
50,Femenino,Andalucía,Empleado,No,6,5.8,Baja,1,6.4,Alto
18,Masculino,País Vasco,Jubilado,Sí,10,6.4,Media,4,5.4,Alto
74,Masculino,Cataluña,Empleado,Sí,8,6.4,Baja,6,5.0,Alto
44,Femenino,Andalucía,Jubilado,No,5,5.2,Baja,4,2.6,Medio
79,Masculino,Aragón,Empleado,No,1,6.0,Baja,6,2.8,Bajo
74,Femenino,Madrid,Empleado,No,5,5.6,Alta,5,4.3,Bajo
69,Femenino,Castilla y León,Estudiante,No,3,6.5,Alta,9,2.9,Bajo
30,Masculino,Cataluña,Desempleado,No,4,6.1,Baja,10,6.6,Medio
58,Femenino,Canarias,Estudiante,No,8,5.0,Media,9,2.8,Medio
20,Femenino,Andalucía,Jubilado,No,7,9.4,Media,4,0.5,Medio
56,Femenino,Madrid,Estudiante,Sí,5,8.5,Alta,4,1.4,Medio
23,Femenino,Cantabria,Desempleado,No,2,6.1,Baja,8,1.5,Bajo
25,Femenino,Canarias,Jubilado,No,6,7.3,Media,10,3.5,Bajo
44,Femenino,Comunidad Valenciana,Desempleado,No,6,7.5,Baja,4,4.4,Alto
26,Masculino,Cataluña,Empleado,Sí,10,8.4,Baja,2,4.1,Alto
79,Masculino,Baleares,Jubilado,No,10,6.0,Alta,2,4.9,Alto
54,Masculino,Comunidad Valenciana,Empleado,No,6,8.3,Media,1,3.5,Alto
50,Femenino,Canarias,Estudiante,No,9,6.3,Baja,5,3.6,Alto
68,Masculino,Canarias,Jubilado,Sí,8,5.4,Baja,6,7.5,Alto
59,Femenino,Andalucía,Estudiante,No,8,7.9,Media,9,6.4,Bajo
61,Femenino,Andalucía,Desempleado,No,1,8.5,Media,5,4.8,Bajo
41,Femenino,País Vasco,Estudiante,Sí,5,10.0,Baja,6,5.8,Medio
32,Otro,Andalucía,Empleado,No,7,5.6,Alta,6,0.5,Medio
76,Femenino,Cataluña,Jubilado,No,6,7.8,Baja,3,2.4,Medio
71,Femenino,Navarra,Empleado,No,5,6.5,Baja,4,3.1,Medio
49,Masculino,Comunidad Valenciana,Empleado,No,8,7.9,Alta,1,2.4,Alto
49,Femenino,Canarias,Empleado,Sí,3,5.2,Baja,4,0.9,Medio
41,Masculino,Comunidad Valenciana,Empleado,Sí,6,5.5,Baja,1,4.8,Alto
58,Masculino,Comunidad Valenciana,Empleado,No,5,6.1,Media,5,6.8,Medio
69,Femenino,Andalucía,Estudiante,Sí,8,7.1,Alta,8,4.0,Medio
66,Femenino,Madrid,Empleado,Sí,4,6.2,Baja,8,5.3,Medio
79,Masculino,Cataluña,Empleado,Sí,8,7.8,Alta,5,3.9,Alto
66,Femenino,Madrid,Empleado,Sí,10,8.2,Media,10,3.1,Medio
75,Femenino,Canarias,Empleado,No,2,7.7,Baja,2,5.8,Bajo
69,Femenino,Madrid,Desempleado,Sí,9,8.9,Media,6,1.1,Alto
29,Femenino,Madrid,Empleado,No,9,7.5,Baja,1,0.5,Alto
79,Femenino,Madrid,Empleado,Sí,10,5.5,Media,7,1.1,Alto
56,Otro,Andalucía,Empleado,No,10,8.6,Media,4,5.7,Alto
19,Femenino,Madrid,Empleado,Sí,6,6.3,Alta,5,4.2,Medio
20,Femenino,Cataluña,Empleado,No,4,8.1,Baja,6,4.8,Bajo
66,Femenino,Cataluña,Empleado,No,4,8.9,Media,1,7.4,Medio
54,Femenino,Andalucía,Estudiante,Sí,6,7.5,Media,9,1.7,Bajo
66,Masculino,Madrid,Estudiante,No,5,5.2,Baja,10,6.4,Bajo
73,Masculino,Canarias,Empleado,Sí,6,5.9,Baja,4,3.2,Alto
34,Masculino,Cataluña,Jubilado,No,7,8.6,Baja,8,2.9,Bajo
76,Masculino,Cataluña,Empleado,Sí,7,6.8,Media,5,4.2,Alto
66,Femenino,Galicia,Empleado,No,9,7.1,Media,8,4.5,Medio
19,Femenino,Cataluña,Jubilado,Sí,8,7.9,Baja,1,3.6,Alto
19,Femenino,Baleares,Empleado,No,6,7.8,Alta,8,5.2,Bajo
45,Masculino,Comunidad Valenciana,Jubilado,Sí,6,7.3,Alta,4,4.2,Alto
71,Femenino,Madrid,Empleado,Sí,5,6.7,Media,2,3.6,Alto
40,Femenino,Comunidad Valenciana,Empleado,No,1,6.6,Baja,6,3.2,Bajo
54,Femenino,Andalucía,Empleado,No,9,8.0,Media,2,4.5,Alto
49,Femenino,Galicia,Estudiante,Sí,9,7.7,Baja,5,1.3,Alto
50,Femenino,Madrid,Desempleado,Sí,9,6.7,Baja,2,1.9,Alto
18,Masculino,Baleares,Estudiante,Sí,8,8.3,Media,3,3.3,Alto
36,Femenino,Andalucía,Empleado,Sí,10,6.8,Baja,6,5.1,Alto
79,Masculino,Comunidad Valenciana,Empleado,Sí,3,6.0,Baja,1,8.3,Alto
19,Masculino,Galicia,Empleado,No,1,6.1,Baja,6,3.7,Bajo
70,Femenino,Andalucía,Empleado,Sí,8,5.8,Baja,3,0.5,Alto
61,Masculino,Madrid,Jubilado,Sí,7,6.7,Baja,7,2.4,Alto
43,Femenino,Castilla y León,Empleado,No,5,8.5,Alta,2,5.3,Medio
49,Masculino,Murcia,Estudiante,No,10,6.0,Baja,6,2.1,Alto
23,Femenino,Cataluña,Estudiante,Sí,7,7.2,Baja,8,1.4,Medio
49,Masculino,Canarias,Empleado,Sí,10,6.2,Baja,1,5.3,Alto
72,Otro,Cantabria,Desempleado,No,4,6.7,Alta,9,4.9,Bajo
21,Femenino,Aragón,Empleado,Sí,9,5.2,Media,5,1.1,Alto
72,Masculino,Andalucía,Empleado,No,10,6.7,Baja,5,2.2,Alto
28,Femenino,Castilla y León,Empleado,Sí,2,6.8,Alta,5,6.5,Bajo
73,Otro,Cataluña,Desempleado,No,9,7.6,Baja,6,5.7,Alto
76,Masculino,La Rioja,Empleado,Sí,9,7.3,Baja,2,1.6,Alto
34,Masculino,Comunidad Valenciana,Empleado,No,5,5.6,Baja,6,0.5,Medio
80,Femenino,Andalucía,Empleado,No,1,8.3,Baja,4,4.5,Bajo
55,Femenino,Castilla y León,Empleado,No,7,7.3,Baja,8,3.4,Medio
41,Femenino,Cataluña,Desempleado,Sí,10,7.2,Media,9,4.4,Alto
22,Femenino,La Rioja,Estudiante,Sí,10,7.0,Baja,9,5.3,Alto
69,Masculino,Cantabria,Empleado,Sí,4,6.4,Media,8,2.1,Bajo
51,Masculino,País Vasco,Empleado,Sí,9,7.3,Baja,3,3.1,Alto
23,Femenino,Andalucía,Estudiante,Sí,6,7.6,Baja,10,2.2,Medio
39,Masculino,País Vasco,Empleado,No,3,4.9,Media,4,2.3,Bajo
28,Masculino,Andalucía,Desempleado,No,6,6.4,Alta,1,5.1,Medio
80,Femenino,Andalucía,Empleado,No,10,6.7,Baja,9,4.3,Alto
65,Femenino,Murcia,Empleado,No,6,7.3,Media,5,0.9,Medio
33,Femenino,Cataluña,Empleado,No,5,8.4,Baja,6,5.5,Medio
50,Femenino,Madrid,Empleado,Sí,2,6.1,Baja,3,3.3,Medio
26,Femenino,Cantabria,Desempleado,No,10,6.4,Baja,10,5.5,Alto
77,Femenino,Cataluña,Empleado,Sí,10,6.4,Baja,8,2.0,Alto
76,Femenino,Cataluña,Estudiante,No,2,6.0,Baja,7,2.1,Bajo
23,Masculino,Extremadura,Jubilado,No,7,6.6,Baja,1,4.5,Alto
33,Masculino,Andalucía,Empleado,No,2,7.9,Media,10,1.8,Bajo
46,Femenino,Canarias,Estudiante,No,6,5.7,Baja,5,3.5,Medio
